,Time,Voltage
0,0.0,0.629883
1,0.005,0.610352
2,0.01,0.634766
3,0.015,0.644531
4,0.02,0.566406
5,0.025,0.537109
6,0.03,0.551758
7,0.035,0.561523
8,0.04,0.585937
9,0.045,0.610352
10,0.05,0.639648
11,0.055,0.620117
12,0.06,0.581055
13,0.065,0.639648
14,0.07,0.634766
15,0.075,0.59082
16,0.08,0.551758
17,0.085,0.556641
18,0.09,0.571289
19,0.095,0.427217
20,0.1,0.610352
21,0.105,0.654297
22,0.11,0.605469
23,0.115,0.561523
24,0.12,0.576172
25,0.125,0.595703
26,0.13,0.585937
27,0.135,0.620117
28,0.14,0.620117
29,0.145,0.59082
30,0.15,0.541992
31,0.155,0.556641
32,0.16,0.561523
33,0.165,0.585937
34,0.17,0.644531
35,0.175,0.649414
36,0.18,0.625
37,0.185,0.620117
38,0.19,0.59082
39,0.195,0.532227
40,0.2,0.527344
41,0.205,0.576172
42,0.21,0.566406
43,0.215,0.610352
44,0.22,0.644531
45,0.225,0.65918
46,0.23,0.625
47,0.235,0.615234
48,0.24,0.625
49,0.245,0.605469
50,0.25,0.541992
51,0.255,0.561523
52,0.26,0.561523
53,0.265,0.581055
54,0.27,0.634766
55,0.275,0.664062
56,0.28,0.649414
57,0.285,0.59082
58,0.29,0.576172
59,0.295,0.595703
60,0.3,0.566406
61,0.305,0.566406
62,0.31,0.59082
63,0.315,0.615234
64,0.32,0.629883
65,0.325,0.625
66,0.33,0.59082
67,0.335,0.610352
68,0.34,0.585937
69,0.345,0.566406
70,0.35,0.605469
71,0.355,0.629883
72,0.36,0.610352
73,0.365,0.576172
74,0.37,0.576172
75,0.375,0.634766
76,0.38,0.595703
77,0.385,0.59082
78,0.39,0.629883
79,0.395,0.605469
80,0.4,0.576172
81,0.405,0.576172
82,0.41,0.576172
83,0.415,0.629883
84,0.42,0.625
85,0.425,0.610352
86,0.43,0.615234
87,0.435,0.610352
88,0.44,0.561523
89,0.445,0.585937
90,0.45,0.59082
91,0.455,0.595703
92,0.46,0.444509
93,0.465,0.421486
94,0.47,0.600586
95,0.475,0.600586
96,0.48,0.585937
97,0.485,0.59082
98,0.49,0.585937
99,0.495,0.610352
100,0.5,0.59082
101,0.505,0.610352
102,0.51,0.639648
103,0.515,0.585937
104,0.52,0.566406
105,0.525,0.585937
106,0.53,0.532227
107,0.535,0.438608
108,0.54,0.576172
109,0.545,0.585937
110,0.55,0.600586
111,0.555,0.595703
112,0.56,0.571289
113,0.565,0.566406
114,0.57,0.402521
115,0.575,0.600586
116,0.58,0.605469
117,0.585,0.629883
118,0.59,0.59082
119,0.595,0.566406
120,0.6,0.571289
121,0.605,0.571289
122,0.61,0.566406
123,0.615,0.571289
124,0.62,0.600586
125,0.625,0.610352
126,0.63,0.600586
127,0.635,0.600586
128,0.64,0.620117
129,0.645,0.600586
130,0.65,0.571289
131,0.655,0.595703
132,0.66,0.571289
133,0.665,0.546875
134,0.67,0.571289
135,0.675,0.718782
136,0.68,0.610352
137,0.685,0.600586
138,0.69,0.585937
139,0.695,0.615234
140,0.7,0.625
141,0.705,0.576172
142,0.71,0.600586
143,0.715,0.600586
144,0.72,0.556641
145,0.725,0.556641
146,0.73,0.595703
147,0.735,0.620117
148,0.74,0.595703
149,0.745,0.576172
150,0.75,0.585937
151,0.755,0.451077
152,0.76,0.571289
153,0.765,0.566406
154,0.77,0.600586
155,0.775,0.629883
156,0.78,0.625
157,0.785,0.615234
158,0.79,0.625
159,0.795,0.566406
160,0.8,0.576172
161,0.805,0.600586
162,0.81,0.605469
163,0.815,0.610352
164,0.82,0.59082
165,0.825,0.571289
166,0.83,0.581055
167,0.835,0.585937
168,0.84,0.605469
169,0.845,0.664062
170,0.85,0.664062
171,0.855,0.556641
172,0.86,0.546875
173,0.865,0.576172
174,0.87,0.566406
175,0.875,0.595703
176,0.88,0.664062
177,0.885,0.639648
178,0.89,0.585937
179,0.895,0.566406
180,0.9,0.566406
181,0.905,0.561523
182,0.91,0.576172
183,0.915,0.610352
184,0.92,0.668945
