      Time (s)  Voltage (V)
0        0.000     2.358398
1        0.004     2.290039
2        0.008     2.250977
3        0.012     2.275391
4        0.016     2.304687
5        0.020     2.338867
6        0.024     2.402344
7        0.028     2.426758
8        0.032     2.431641
9        0.036     2.387695
10       0.040     2.358398
11       0.044     2.373047
12       0.048     2.368164
13       0.052     2.377930
14       0.056     2.363281
15       0.060     2.368164
16       0.064     2.373047
17       0.068     2.363281
18       0.072     2.329102
19       0.076     2.166768
20       0.080     2.299805
21       0.084     2.333984
22       0.088     2.377930
23       0.092     2.421875
24       0.096     2.436523
25       0.100     2.416992
26       0.104     2.368164
27       0.108     2.333984
28       0.112     2.290039
29       0.116     2.290039
30       0.120     2.299805
31       0.124     2.319336
32       0.128     2.358398
33       0.132     2.426758
34       0.136     2.426758
35       0.140     2.431641
36       0.144     2.431641
37       0.148     2.397461
38       0.152     2.363281
39       0.156     2.324219
40       0.160     2.358398
41       0.164     2.343750
42       0.168     2.363281
43       0.172     2.392578
44       0.176     2.397461
45       0.180     2.382812
46       0.184     2.392578
47       0.188     2.407227
48       0.192     2.416992
49       0.196     2.407227
50       0.200     2.368164
51       0.204     2.333984
52       0.208     2.333984
53       0.212     2.348633
54       0.216     2.363281
55       0.220     2.416992
56       0.224     2.470703
57       0.228     2.480469
58       0.232     2.475586
59       0.236     2.436523
60       0.240     2.392578
61       0.244     2.377930
62       0.248     2.353516
63       0.252     2.377930
64       0.256     2.402344
65       0.260     2.426758
66       0.264     2.460937
67       0.268     2.412109
68       0.272     2.407227
69       0.276     2.333984
70       0.280     2.338867
71       0.284     2.348633
72       0.288     2.333984
73       0.292     2.358398
74       0.296     2.407227
75       0.300     2.421875
76       0.304     2.407227
77       0.308     2.402344
78       0.312     2.416992
79       0.316     2.431641
80       0.320     2.407227
81       0.324     2.358398
82       0.328     2.348633
83       0.332     2.333984
84       0.336     2.309570
85       0.340     2.290039
86       0.344     2.309570
87       0.348     2.353516
88       0.352     2.377930
89       0.356     2.407227
90       0.360     2.416992
91       0.364     2.407227
92       0.368     2.189138
93       0.372     2.159354
94       0.376     2.353516
95       0.380     2.319336
96       0.384     2.319336
97       0.388     2.343750
98       0.392     2.387695
99       0.396     2.436523
100      0.400     2.465820
101      0.404     2.436523
102      0.408     2.387695
103      0.412     2.333984
104      0.416     2.304687
105      0.420     2.319336
106      0.424     2.368164
107      0.428     2.181505
108      0.432     2.475586
109      0.436     2.504883
110      0.440     2.465820
