index,time,voltage
0,0.0,1.518451
1,0.01,1.620957
2,0.02,1.708819
3,0.03,1.694174
4,0.04,1.518451
5,0.05,1.577027
6,0.06,1.664889
7,0.07,1.533095
8,0.08,1.591669
9,0.09,1.679687
10,0.1,1.708819
11,0.11,1.547739
12,0.12,1.474522
13,0.13,1.606313
14,0.14,1.669922
15,0.15,1.562383
16,0.16,1.547739
17,0.17,1.669922
18,0.18,1.562383
19,0.19,1.414033
20,0.2,1.547739
21,0.21,1.606313
22,0.22,1.708819
23,0.23,1.708819
24,0.24,1.50381
25,0.25,1.538086
26,0.26,1.620957
27,0.27,1.620957
28,0.28,1.430592
29,0.29,1.562383
30,0.3,1.518451
31,0.31,1.591669
32,0.32,1.67953
33,0.33,1.67953
34,0.34,1.518451
35,0.35,1.459878
36,0.36,1.664889
37,0.37,1.635601
38,0.38,1.474522
39,0.39,1.577027
40,0.4,1.635601
41,0.41,1.606313
42,0.42,1.650245
43,0.43,1.635601
44,0.44,1.538086
45,0.45,1.474522
46,0.46,1.694336
47,0.47,1.782036
48,0.48,1.474522
49,0.49,1.503906
50,0.5,1.650245
51,0.51,1.728516
52,0.52,1.664889
53,0.53,1.513672
54,0.54,1.459878
55,0.55,1.669922
56,0.56,1.738107
57,0.57,1.591669
58,0.58,1.562383
59,0.59,1.606313
60,0.6,1.708819
61,0.61,1.591669
62,0.62,1.542969
63,0.63,1.664889
64,0.64,1.635601
65,0.65,1.694174
66,0.66,1.533203
67,0.67,1.723463
68,0.68,1.723463
69,0.69,1.635601
70,0.7,1.474522
71,0.71,1.591669
72,0.72,1.723463
73,0.73,1.723463
74,0.74,1.533095
75,0.75,1.562383
76,0.76,1.635601
77,0.77,1.664889
78,0.78,1.738107
79,0.79,1.562383
80,0.8,1.50381
81,0.81,1.518555
82,0.82,1.694174
83,0.83,1.669922
84,0.84,1.635601
85,0.85,1.52832
86,0.86,1.577027
87,0.87,1.67953
88,0.88,1.591669
89,0.89,1.694174
90,0.9,1.67953
91,0.91,1.518451
92,0.92,1.418852
93,0.93,1.412436
94,0.94,1.562383
95,0.95,1.523437
96,0.96,1.518451
97,0.97,1.708984
98,0.98,1.67953
99,0.99,1.635601
100,1.0,1.518451
101,1.01,1.767392
102,1.02,1.635601
103,1.03,1.606313
104,1.04,1.635601
105,1.05,1.738107
106,1.06,1.635601
107,1.07,1.417207
108,1.08,1.606313
109,1.09,1.547739
110,1.1,1.459878
111,1.11,1.694174
112,1.12,1.704102
113,1.13,1.67953
114,1.14,1.40715
115,1.15,1.489166
116,1.16,1.674805
117,1.17,1.669922
118,1.18,1.489166
119,1.19,1.542969
120,1.2,1.650245
121,1.21,1.650245
122,1.22,1.650245
123,1.23,1.591669
124,1.24,1.474522
125,1.25,1.474522
126,1.26,1.694174
127,1.27,1.591669
128,1.28,1.664889
129,1.29,1.577027
130,1.3,1.577027
131,1.31,1.459878
132,1.32,1.635601
133,1.33,1.547739
134,1.34,1.679687
135,1.35,1.791276
136,1.36,1.489166
137,1.37,1.489166
138,1.38,1.474522
139,1.39,1.650245
140,1.4,1.71875
141,1.41,1.591669
142,1.42,1.523437
143,1.43,1.52832
144,1.44,1.723463
145,1.45,1.738107
146,1.46,1.620957
147,1.47,1.547739
148,1.48,1.708819
149,1.49,1.620957
150,1.5,1.50381
151,1.51,1.420682
152,1.52,1.752748
153,1.53,1.689453
154,1.54,1.533095
155,1.55,1.533203
156,1.56,1.694174
157,1.57,1.67953
158,1.58,1.445233
159,1.59,1.67953
160,1.6,1.767392
161,1.61,1.489166
162,1.62,1.547739
163,1.63,1.577027
164,1.64,1.533095
165,1.65,1.782036
166,1.66,1.577027
167,1.67,1.445233
168,1.68,1.489166
169,1.69,1.679687
170,1.7,1.782036
171,1.71,1.523437
172,1.72,1.474522
173,1.73,1.533095
174,1.74,1.723463
175,1.75,1.694174
176,1.76,1.547739
177,1.77,1.459878
178,1.78,1.591669
179,1.79,1.620957
180,1.8,1.704102
181,1.81,1.591669
182,1.82,1.489258
183,1.83,1.577027
184,1.84,1.68457
185,1.85,1.591669
186,1.86,1.518451
187,1.87,1.591669
188,1.88,1.67953
189,1.89,1.635601
190,1.9,1.577027
191,1.91,1.459878
192,1.92,1.620957
193,1.93,1.782036
194,1.94,1.591669
195,1.95,1.503906
196,1.96,1.591669
197,1.97,1.752748
198,1.98,1.620957
199,1.99,1.503906
200,2.0,1.577027
201,2.01,1.713867
202,2.02,1.635601
203,2.03,1.50381
204,2.04,1.591669
205,2.05,1.794395
206,2.06,1.547739
207,2.07,1.50381
208,2.08,1.606313
209,2.09,1.577027
210,2.1,1.591669
211,2.11,1.635601
212,2.12,1.664889
213,2.13,1.533095
214,2.14,1.445233
215,2.15,1.50381
216,2.16,1.738107
217,2.17,1.650245
218,2.18,1.513672
219,2.19,1.694174
220,2.2,1.674805
221,2.21,1.664889
222,2.22,1.430592
223,2.23,1.606313
224,2.24,1.620957
225,2.25,1.694174
226,2.26,1.489166
227,2.27,1.650245
228,2.28,1.723463
229,2.29,1.767392
230,2.3,1.430592
231,2.31,1.708819
232,2.32,1.679687
233,2.33,1.782036
234,2.34,1.508789
235,2.35,1.474522
236,2.36,1.679687
237,2.37,1.694336
238,2.38,1.503906
239,2.39,1.459878
240,2.4,1.674805
241,2.41,1.679687
242,2.42,1.577027
243,2.43,1.538086
244,2.44,1.664889
245,2.45,1.420184
246,2.46,1.723463
247,2.47,1.50381
248,2.48,1.620957
249,2.49,1.767392
250,2.5,1.635601
251,2.51,1.542969
252,2.52,1.50381
253,2.53,1.650245
254,2.54,1.669922
255,2.55,1.674805
256,2.56,1.523437
257,2.57,1.430592
258,2.58,1.411543
259,2.59,1.798064
260,2.6,1.503906
261,2.61,1.459878
262,2.62,1.708819
263,2.63,1.728516
264,2.64,1.542969
265,2.65,1.562383
266,2.66,1.723463
267,2.67,1.591669
268,2.68,1.591669
269,2.69,1.669922
270,2.7,1.533095
271,2.71,1.52832
272,2.72,1.723463
273,2.73,1.699219
274,2.74,1.650245
275,2.75,1.538086
276,2.76,1.606313
277,2.77,1.723463
278,2.78,1.704102
279,2.79,1.606313
280,2.8,1.513672
281,2.81,1.513672
282,2.82,1.708819
283,2.83,1.694174
284,2.84,1.518451
285,2.85,1.547739
286,2.86,1.547739
287,2.87,1.533095
288,2.88,1.591669
289,2.89,1.562383
290,2.9,1.523437
291,2.91,1.591669
292,2.92,1.679687
293,2.93,1.650245
294,2.94,1.650245
295,2.95,1.538086
296,2.96,1.513672
297,2.97,1.689453
298,2.98,1.782036
299,2.99,1.518555
300,3.0,1.445233
301,3.01,1.782036
302,3.02,1.723463
303,3.03,1.562383
304,3.04,1.547739
305,3.05,1.67953
306,3.06,1.533095
307,3.07,1.562383
308,3.08,1.562383
309,3.09,1.782036
310,3.1,1.577027
311,3.11,1.50381
312,3.12,1.650245
313,3.13,1.547739
314,3.14,1.799309
315,3.15,1.650245
316,3.16,1.694336
317,3.17,1.469727
318,3.18,1.503906
319,3.19,1.752748
320,3.2,1.762695
321,3.21,1.542969
322,3.22,1.430592
323,3.23,1.50381
324,3.24,1.689453
325,3.25,1.752748
326,3.26,1.445233
327,3.27,1.52832
328,3.28,1.620957
329,3.29,1.67953
330,3.3,1.694174
331,3.31,1.577027
332,3.32,1.52832
333,3.33,1.518451
334,3.34,1.620957
335,3.35,1.708819
336,3.36,1.547739
337,3.37,1.459878
338,3.38,1.782036
339,3.39,1.542969
340,3.4,1.591669
341,3.41,1.547739
342,3.42,1.50381
343,3.43,1.664889
344,3.44,1.782036
345,3.45,1.591669
346,3.46,1.542969
347,3.47,1.533095
348,3.48,1.606313
349,3.49,1.474522
350,3.5,1.591669
351,3.51,1.723463
352,3.52,1.606313
353,3.53,1.533095
354,3.54,1.694336
355,3.55,1.635601
356,3.56,1.445233
357,3.57,1.804962
358,3.58,1.635601
359,3.59,1.50381
360,3.6,1.679687
361,3.61,1.664889
362,3.62,1.459878
363,3.63,1.499023
364,3.64,1.674805
365,3.65,1.708984
366,3.66,1.664889
367,3.67,1.494141
368,3.68,1.542969
369,3.69,1.738107
370,3.7,1.752748
371,3.71,1.606313
372,3.72,1.523437
373,3.73,1.577027
374,3.74,1.577027
375,3.75,1.620957
376,3.76,1.669922
377,3.77,1.562383
378,3.78,1.445233
379,3.79,1.620957
380,3.8,1.708819
381,3.81,1.767392
382,3.82,1.606313
383,3.83,1.518555
384,3.84,1.523437
385,3.85,1.669922
386,3.86,1.694336
387,3.87,1.547739
388,3.88,1.499023
389,3.89,1.650245
390,3.9,1.50381
391,3.91,1.635601
392,3.92,1.635601
393,3.93,1.694174
394,3.94,1.474522
395,3.95,1.664889
396,3.96,1.591669
397,3.97,1.518451
398,3.98,1.562383
399,3.99,1.752748
400,4.0,1.547739
401,4.01,1.538086
402,4.02,1.518451
403,4.03,1.694336
404,4.04,1.738107
405,4.05,1.533095
406,4.06,1.547739
407,4.07,1.635601
408,4.08,1.708819
409,4.09,1.67953
410,4.1,1.50381
411,4.11,1.547739
412,4.12,1.591669
413,4.13,1.708984
414,4.14,1.67953
415,4.15,1.445233
416,4.16,1.513672
417,4.17,1.752748
418,4.18,1.67953
419,4.19,1.620957
420,4.2,1.503906
421,4.21,1.606313
422,4.22,1.694174
423,4.23,1.738107
424,4.24,1.474522
425,4.25,1.547739
426,4.26,1.708984
427,4.27,1.708819
428,4.28,1.417873
429,4.29,1.694174
430,4.3,1.808435
431,4.31,1.547739
432,4.32,1.50381
433,4.33,1.577027
434,4.34,1.620957
435,4.35,1.805999
436,4.36,1.562383
437,4.37,1.562383
438,4.38,1.635601
439,4.39,1.518451
440,4.4,1.606313
441,4.41,1.694174
442,4.42,1.606313
443,4.43,1.562383
444,4.44,1.738107
445,4.45,1.708819
446,4.46,1.562383
447,4.47,1.650245
448,4.48,1.547739
449,4.49,1.67953
450,4.5,1.723463
451,4.51,1.591669
452,4.52,1.518451
453,4.53,1.606313
454,4.54,1.620957
455,4.55,1.67953
456,4.56,1.547739
457,4.57,1.591669
458,4.58,1.723463
459,4.59,1.782036
460,4.6,1.635601
461,4.61,1.562383
462,4.62,1.405043
463,4.63,1.591669
464,4.64,1.708819
465,4.65,1.577027
466,4.66,1.50381
467,4.67,1.459878
468,4.68,1.669922
469,4.69,1.723463
470,4.7,1.67953
471,4.71,1.50381
472,4.72,1.591669
473,4.73,1.577027
474,4.74,1.577027
475,4.75,1.635601
476,4.76,1.68457
477,4.77,1.547739
478,4.78,1.499023
479,4.79,1.459878
480,4.8,1.694336
481,4.81,1.679687
482,4.82,1.52832
483,4.83,1.523437
484,4.84,1.635601
485,4.85,1.71875
486,4.86,1.679687
487,4.87,1.430592
488,4.88,1.518451
489,4.89,1.52832
490,4.9,1.606313
491,4.91,1.606313
492,4.92,1.752748
493,4.93,1.562383
494,4.94,1.606313
495,4.95,1.547739
496,4.96,1.562383
497,4.97,1.445233
498,4.98,1.679687
499,4.99,1.50381
500,5.0,1.577027
501,5.01,1.67953
502,5.02,1.738107
503,5.03,1.738107
504,5.04,1.67953
505,5.05,1.577027
506,5.06,1.577027
