,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
0,0.0,1.518451,37.334286,366.24933,24.665514,-0.907749
1,0.01,1.620957,39.938656,391.7982,25.511322,0.158497
2,0.02,1.708819,42.170963,413.69717,26.214588,1.045049
3,0.03,1.694174,41.798878,410.047,26.098682,0.898936
4,0.04,1.518451,37.334286,366.24933,24.665514,-0.907749
5,0.05,1.577027,38.822525,380.84897,25.152327,-0.294063
6,0.06,1.664889,41.054836,402.74792,25.865353,0.604796
7,0.07,1.533095,37.706345,369.89923,24.788113,-0.753198
8,0.08,1.591669,39.194534,384.49838,25.272547,-0.142509
9,0.09,1.679687,41.43081,406.43622,25.983519,0.753758
10,0.1,1.708819,42.170963,413.69717,26.214588,1.045049
11,0.11,1.547739,38.078403,373.54916,24.910109,-0.599407
12,0.12,1.474522,36.21818,355.30035,24.294031,-1.37605
13,0.13,1.606313,39.566593,388.1483,25.392216,0.008347
14,0.14,1.669922,41.18271,404.00238,25.905603,0.655536
15,0.15,1.562383,38.450466,377.19907,25.031511,-0.446366
16,0.16,1.547739,38.078403,373.54916,24.910109,-0.599407
17,0.17,1.669922,41.18271,404.00238,25.905603,0.655536
18,0.18,1.562383,38.450466,377.19907,25.031511,-0.446366
19,0.19,1.414033,34.681335,340.2239,23.77301,-2.032861
20,0.2,1.547739,38.078403,373.54916,24.910109,-0.599407
21,0.21,1.606313,39.566593,388.1483,25.392216,0.008347
22,0.22,1.708819,42.170963,413.69717,26.214588,1.045049
23,0.23,1.708819,42.170963,413.69717,26.214588,1.045049
24,0.24,1.50381,36.9623,362.60016,24.542328,-1.063041
25,0.25,1.538086,37.833153,371.14322,24.82976,-0.700698
26,0.26,1.620957,39.938656,391.7982,25.511322,0.158497
27,0.27,1.620957,39.938656,391.7982,25.511322,0.158497
28,0.28,1.430592,35.10205,344.3511,23.916769,-1.851635
29,0.29,1.562383,38.450466,377.19907,25.031511,-0.446366
30,0.3,1.518451,37.334286,366.24933,24.665514,-0.907749
31,0.31,1.591669,39.194534,384.49838,25.272547,-0.142509
32,0.32,1.67953,41.42682,406.3971,25.982267,0.752181
33,0.33,1.67953,41.42682,406.3971,25.982267,0.752181
34,0.34,1.518451,37.334286,366.24933,24.665514,-0.907749
35,0.35,1.459878,35.84612,351.65045,24.168924,-1.533761
36,0.36,1.664889,41.054836,402.74792,25.865353,0.604796
37,0.37,1.635601,40.310715,395.44812,25.629875,0.307948
38,0.38,1.474522,36.21818,355.30035,24.294031,-1.37605
39,0.39,1.577027,38.822525,380.84897,25.152327,-0.294063
40,0.4,1.635601,40.310715,395.44812,25.629875,0.307948
41,0.41,1.606313,39.566593,388.1483,25.392216,0.008347
42,0.42,1.650245,40.682774,399.09802,25.747885,0.456712
43,0.43,1.635601,40.310715,395.44812,25.629875,0.307948
44,0.44,1.538086,37.833153,371.14322,24.82976,-0.700698
45,0.45,1.474522,36.21818,355.30035,24.294031,-1.37605
46,0.46,1.694336,41.802994,410.08737,26.099966,0.900556
47,0.47,1.782036,44.03119,431.94595,26.78653,1.766054
48,0.48,1.474522,36.21818,355.30035,24.294031,-1.37605
49,0.49,1.503906,36.96474,362.62408,24.543139,-1.06202
50,0.5,1.650245,40.682774,399.09802,25.747885,0.456712
51,0.51,1.728516,42.671406,418.6065,26.369673,1.240553
52,0.52,1.664889,41.054836,402.74792,25.865353,0.604796
53,0.53,1.513672,37.212864,365.0582,24.625372,-0.958353
54,0.54,1.459878,35.84612,351.65045,24.168924,-1.533761
55,0.55,1.669922,41.18271,404.00238,25.905603,0.655536
56,0.56,1.738107,42.915085,420.99698,26.444859,1.335334
57,0.57,1.591669,39.194534,384.49838,25.272547,-0.142509
58,0.58,1.562383,38.450466,377.19907,25.031511,-0.446366
59,0.59,1.606313,39.566593,388.1483,25.392216,0.008347
60,0.6,1.708819,42.170963,413.69717,26.214588,1.045049
61,0.61,1.591669,39.194534,384.49838,25.272547,-0.142509
62,0.62,1.542969,37.957214,372.36026,24.870438,-0.649419
63,0.63,1.664889,41.054836,402.74792,25.865353,0.604796
64,0.64,1.635601,40.310715,395.44812,25.629875,0.307948
65,0.65,1.694174,41.798878,410.047,26.098682,0.898936
66,0.66,1.533203,37.709087,369.92615,24.789015,-0.752061
67,0.67,1.723463,42.543026,417.34708,26.329975,1.190509
68,0.68,1.723463,42.543026,417.34708,26.329975,1.190509
69,0.69,1.635601,40.310715,395.44812,25.629875,0.307948
70,0.7,1.474522,36.21818,355.30035,24.294031,-1.37605
71,0.71,1.591669,39.194534,384.49838,25.272547,-0.142509
72,0.72,1.723463,42.543026,417.34708,26.329975,1.190509
73,0.73,1.723463,42.543026,417.34708,26.329975,1.190509
74,0.74,1.533095,37.706345,369.89923,24.788113,-0.753198
75,0.75,1.562383,38.450466,377.19907,25.031511,-0.446366
76,0.76,1.635601,40.310715,395.44812,25.629875,0.307948
77,0.77,1.664889,41.054836,402.74792,25.865353,0.604796
78,0.78,1.738107,42.915085,420.99698,26.444859,1.335334
79,0.79,1.562383,38.450466,377.19907,25.031511,-0.446366
80,0.8,1.50381,36.9623,362.60016,24.542328,-1.063041
81,0.81,1.518555,37.336926,366.27524,24.666388,-0.906649
82,0.82,1.694174,41.798878,410.047,26.098682,0.898936
83,0.83,1.669922,41.18271,404.00238,25.905603,0.655536
84,0.84,1.635601,40.310715,395.44812,25.629875,0.307948
85,0.85,1.52832,37.585026,368.7091,24.748203,-0.803509
86,0.86,1.577027,38.822525,380.84897,25.152327,-0.294063
87,0.87,1.67953,41.42682,406.3971,25.982267,0.752181
88,0.88,1.591669,39.194534,384.49838,25.272547,-0.142509
89,0.89,1.694174,41.798878,410.047,26.098682,0.898936
90,0.9,1.67953,41.42682,406.3971,25.982267,0.752181
91,0.91,1.518451,37.334286,366.24933,24.665514,-0.907749
92,0.92,1.418852,34.803772,341.42502,23.814936,-1.980008
93,0.93,1.412436,34.640762,339.82587,23.7591,-2.050397
94,0.94,1.562383,38.450466,377.19907,25.031511,-0.446366
95,0.95,1.523437,37.460964,367.49207,24.707325,-0.855041
96,0.96,1.518451,37.334286,366.24933,24.665514,-0.907749
97,0.97,1.708984,42.175156,413.73828,26.21589,1.046691
98,0.98,1.67953,41.42682,406.3971,25.982267,0.752181
99,0.99,1.635601,40.310715,395.44812,25.629875,0.307948
100,1.0,1.518451,37.334286,366.24933,24.665514,-0.907749
101,1.01,1.767392,43.65913,428.29605,26.673119,1.623084
102,1.02,1.635601,40.310715,395.44812,25.629875,0.307948
103,1.03,1.606313,39.566593,388.1483,25.392216,0.008347
