,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
0,0.0,1.577148,38.8256,380.87912,25.153322,-0.465977
1,0.01,1.611328,39.69401,389.39825,25.433067,0.076401
2,0.02,1.640625,40.43836,396.70032,25.670424,0.536589
3,0.03,1.635742,40.314297,395.48325,25.631016,0.460184
4,0.04,1.577148,38.8256,380.87912,25.153322,-0.465977
5,0.05,1.59668,39.32185,385.74734,25.31356,-0.155304
6,0.06,1.625977,40.066196,393.0494,25.552025,0.307037
7,0.07,1.582031,38.94966,382.0962,25.193476,-0.388123
8,0.08,1.601562,39.445885,386.96414,25.353453,-0.077958
9,0.09,1.679687,41.43081,406.43622,25.983519,1.143625
10,0.1,1.640625,40.43836,396.70032,25.670424,0.536589
11,0.11,1.586914,39.073723,383.31323,25.233568,-0.310394
12,0.12,1.5625,38.453438,377.2282,25.032478,-0.700271
13,0.13,1.606445,39.569946,388.18118,25.393291,-0.000718
14,0.14,1.669922,41.18271,404.00238,25.905603,0.992562
15,0.15,1.591797,39.19779,384.53027,25.273596,-0.232788
16,0.16,1.586914,39.073723,383.31323,25.233568,-0.310394
17,0.17,1.669922,41.18271,404.00238,25.905603,0.992562
18,0.18,1.591797,39.19779,384.53027,25.273596,-0.232788
19,0.19,1.380457,33.82827,331.85535,23.478815,-3.712545
20,0.2,1.586914,39.073723,383.31323,25.233568,-0.310394
21,0.21,1.606445,39.569946,388.18118,25.393291,-0.000718
22,0.22,1.640625,40.43836,396.70032,25.670424,0.536589
23,0.23,1.640625,40.43836,396.70032,25.670424,0.536589
24,0.24,1.572266,38.70156,379.66232,25.11311,-0.543939
25,0.25,1.538086,37.833153,371.14322,24.82976,-1.093305
26,0.26,1.611328,39.69401,389.39825,25.433067,0.076401
27,0.27,1.611328,39.69401,389.39825,25.433067,0.076401
28,0.28,1.547852,38.081276,373.5773,24.911049,-0.935701
29,0.29,1.591797,39.19779,384.53027,25.273596,-0.232788
30,0.3,1.577148,38.8256,380.87912,25.153322,-0.465977
31,0.31,1.601562,39.445885,386.96414,25.353453,-0.077958
32,0.32,1.630859,40.190235,394.2662,25.591547,0.383662
33,0.33,1.630859,40.190235,394.2662,25.591547,0.383662
34,0.34,1.577148,38.8256,380.87912,25.153322,-0.465977
35,0.35,1.557617,38.329376,376.01117,24.992064,-0.778626
36,0.36,1.625977,40.066196,393.0494,25.552025,0.307037
37,0.37,1.616211,39.818073,390.6153,25.472782,0.153399
38,0.38,1.5625,38.453438,377.2282,25.032478,-0.700271
39,0.39,1.59668,39.32185,385.74734,25.31356,-0.155304
40,0.4,1.616211,39.818073,390.6153,25.472782,0.153399
41,0.41,1.606445,39.569946,388.18118,25.393291,-0.000718
42,0.42,1.621094,39.942135,391.83234,25.512434,0.230278
43,0.43,1.616211,39.818073,390.6153,25.472782,0.153399
44,0.44,1.538086,37.833153,371.14322,24.82976,-1.093305
45,0.45,1.5625,38.453438,377.2282,25.032478,-0.700271
46,0.46,1.694336,41.802994,410.08737,26.099966,1.369398
47,0.47,1.665039,41.058647,402.7853,25.866554,0.916852
48,0.48,1.5625,38.453438,377.2282,25.032478,-0.700271
49,0.49,1.503906,36.96474,362.62408,24.543139,-1.649013
50,0.5,1.621094,39.942135,391.83234,25.512434,0.230278
51,0.51,1.728516,42.671406,418.6065,26.369673,1.892308
52,0.52,1.625977,40.066196,393.0494,25.552025,0.307037
53,0.53,1.513672,37.212864,365.0582,24.625372,-1.489575
54,0.54,1.557617,38.329376,376.01117,24.992064,-0.778626
55,0.55,1.669922,41.18271,404.00238,25.905603,0.992562
56,0.56,1.650391,40.686485,399.1344,25.749058,0.689048
57,0.57,1.601562,39.445885,386.96414,25.353453,-0.077958
58,0.58,1.591797,39.19779,384.53027,25.273596,-0.232788
59,0.59,1.606445,39.569946,388.18118,25.393291,-0.000718
60,0.6,1.640625,40.43836,396.70032,25.670424,0.536589
61,0.61,1.601562,39.445885,386.96414,25.353453,-0.077958
62,0.62,1.542969,37.957214,372.36026,24.870438,-1.014439
63,0.63,1.625977,40.066196,393.0494,25.552025,0.307037
64,0.64,1.616211,39.818073,390.6153,25.472782,0.153399
65,0.65,1.635742,40.314297,395.48325,25.631016,0.460184
66,0.66,1.533203,37.709087,369.92615,24.789015,-1.172301
67,0.67,1.645508,40.56242,397.91736,25.70977,0.612877
68,0.68,1.645508,40.56242,397.91736,25.70977,0.612877
69,0.69,1.616211,39.818073,390.6153,25.472782,0.153399
70,0.7,1.5625,38.453438,377.2282,25.032478,-0.700271
71,0.71,1.601562,39.445885,386.96414,25.353453,-0.077958
72,0.72,1.645508,40.56242,397.91736,25.70977,0.612877
73,0.73,1.645508,40.56242,397.91736,25.70977,0.612877
74,0.74,1.582031,38.94966,382.0962,25.193476,-0.388123
75,0.75,1.591797,39.19779,384.53027,25.273596,-0.232788
76,0.76,1.616211,39.818073,390.6153,25.472782,0.153399
77,0.77,1.625977,40.066196,393.0494,25.552025,0.307037
78,0.78,1.650391,40.686485,399.1344,25.749058,0.689048
79,0.79,1.591797,39.19779,384.53027,25.273596,-0.232788
80,0.8,1.572266,38.70156,379.66232,25.11311,-0.543939
81,0.81,1.518555,37.336926,366.27524,24.666388,-1.410055
82,0.82,1.635742,40.314297,395.48325,25.631016,0.460184
83,0.83,1.669922,41.18271,404.00238,25.905603,0.992562
84,0.84,1.616211,39.818073,390.6153,25.472782,0.153399
85,0.85,1.52832,37.585026,368.7091,24.748203,-1.251427
86,0.86,1.59668,39.32185,385.74734,25.31356,-0.155304
87,0.87,1.630859,40.190235,394.2662,25.591547,0.383662
88,0.88,1.601562,39.445885,386.96414,25.353453,-0.077958
89,0.89,1.635742,40.314297,395.48325,25.631016,0.460184
90,0.9,1.630859,40.190235,394.2662,25.591547,0.383662
91,0.91,1.577148,38.8256,380.87912,25.153322,-0.465977
92,0.92,1.404946,34.450462,337.95905,23.693748,-3.295824
93,0.93,1.372341,33.622066,329.8325,23.407146,-3.851496
94,0.94,1.591797,39.19779,384.53027,25.273596,-0.232788
95,0.95,1.523437,37.460964,367.49207,24.707325,-1.330683
96,0.96,1.577148,38.8256,380.87912,25.153322,-0.465977
97,0.97,1.708984,42.175156,413.73828,26.21589,1.594152
98,0.98,1.630859,40.190235,394.2662,25.591547,0.383662
99,0.99,1.616211,39.818073,390.6153,25.472782,0.153399
100,1.0,1.577148,38.8256,380.87912,25.153322,-0.465977
101,1.01,1.660156,40.93458,401.56827,25.827446,0.841027
102,1.02,1.616211,39.818073,390.6153,25.472782,0.153399
103,1.03,1.606445,39.569946,388.18118,25.393291,-0.000718
104,1.04,1.616211,39.818073,390.6153,25.472782,0.153399
105,1.05,1.650391,40.686485,399.1344,25.749058,0.689048
106,1.06,1.616211,39.818073,390.6153,25.472782,0.153399
107,1.07,1.39659,34.238163,335.87637,23.62063,-3.437589
108,1.08,1.606445,39.569946,388.18118,25.393291,-0.000718
109,1.09,1.586914,39.073723,383.31323,25.233568,-0.310394
110,1.1,1.557617,38.329376,376.01117,24.992064,-0.778626
111,1.11,1.635742,40.314297,395.48325,25.631016,0.460184
112,1.12,1.704102,42.05112,412.52148,26.17731,1.519355
113,1.13,1.630859,40.190235,394.2662,25.591547,0.383662
114,1.14,1.345484,32.939713,323.13858,23.168406,-4.31437
115,1.15,1.567383,38.5775,378.44528,25.072826,-0.622042
116,1.16,1.674805,41.30677,405.21942,25.944593,1.068158
117,1.17,1.669922,41.18271,404.00238,25.905603,0.992562
118,1.18,1.567383,38.5775,378.44528,25.072826,-0.622042
119,1.19,1.542969,37.957214,372.36026,24.870438,-1.014439
120,1.2,1.621094,39.942135,391.83234,25.512434,0.230278
121,1.21,1.621094,39.942135,391.83234,25.512434,0.230278
122,1.22,1.621094,39.942135,391.83234,25.512434,0.230278
123,1.23,1.601562,39.445885,386.96414,25.353453,-0.077958
124,1.24,1.5625,38.453438,377.2282,25.032478,-0.700271
125,1.25,1.5625,38.453438,377.2282,25.032478,-0.700271
126,1.26,1.635742,40.314297,395.48325,25.631016,0.460184
127,1.27,1.601562,39.445885,386.96414,25.353453,-0.077958
128,1.28,1.625977,40.066196,393.0494,25.552025,0.307037
129,1.29,1.59668,39.32185,385.74734,25.31356,-0.155304
130,1.3,1.59668,39.32185,385.74734,25.31356,-0.155304
131,1.31,1.557617,38.329376,376.01117,24.992064,-0.778626
132,1.32,1.616211,39.818073,390.6153,25.472782,0.153399
133,1.33,1.586914,39.073723,383.31323,25.233568,-0.310394
134,1.34,1.679687,41.43081,406.43622,25.983519,1.143625
135,1.35,1.793368,44.3191,434.7704,26.873964,2.870038
136,1.36,1.567383,38.5775,378.44528,25.072826,-0.622042
137,1.37,1.567383,38.5775,378.44528,25.072826,-0.622042
138,1.38,1.5625,38.453438,377.2282,25.032478,-0.700271
139,1.39,1.621094,39.942135,391.83234,25.512434,0.230278
140,1.4,1.71875,42.423283,416.1724,26.292894,1.743448
141,1.41,1.601562,39.445885,386.96414,25.353453,-0.077958
142,1.42,1.523437,37.460964,367.49207,24.707325,-1.330683
143,1.43,1.52832,37.585026,368.7091,24.748203,-1.251427
144,1.44,1.645508,40.56242,397.91736,25.70977,0.612877
145,1.45,1.650391,40.686485,399.1344,25.749058,0.689048
146,1.46,1.611328,39.69401,389.39825,25.433067,0.076401
147,1.47,1.586914,39.073723,383.31323,25.233568,-0.310394
148,1.48,1.640625,40.43836,396.70032,25.670424,0.536589
149,1.49,1.611328,39.69401,389.39825,25.433067,0.076401
150,1.5,1.572266,38.70156,379.66232,25.11311,-0.543939
151,1.51,1.414248,34.6868,340.2775,23.774881,-3.138523
152,1.52,1.655273,40.81052,400.35123,25.788277,0.765087
153,1.53,1.689453,41.678932,408.87033,26.061209,1.294252
154,1.54,1.582031,38.94966,382.0962,25.193476,-0.388123
155,1.55,1.533203,37.709087,369.92615,24.789015,-1.172301
156,1.56,1.635742,40.314297,395.48325,25.631016,0.460184
157,1.57,1.630859,40.190235,394.2662,25.591547,0.383662
158,1.58,1.552734,38.205315,374.79413,24.951586,-0.857108
